# Focal surface lookup table
# Extracted from DESI-0530-v9
# 2015-12-15 JHS
# Columns:  R, Z5,  S,   N
# Units:   mm, mm, mm, deg
0.0,0.000000,0.000000,0.001722
1.0,-0.000100,1.000000,0.010606
2.0,-0.000402,2.000000,0.019486
3.0,-0.000904,3.000000,0.028362
4.0,-0.001607,4.000000,0.037235
5.0,-0.002511,5.000001,0.046104
6.0,-0.003616,6.000001,0.054970
7.0,-0.004922,7.000002,0.063833
8.0,-0.006430,8.000003,0.072694
9.0,-0.008138,9.000005,0.081551
10.0,-0.010047,10.000007,0.090407
11.0,-0.012158,11.000009,0.099260
12.0,-0.014470,12.000012,0.108111
13.0,-0.016983,13.000015,0.116960
14.0,-0.019698,14.000018,0.125807
15.0,-0.022614,15.000023,0.134653
16.0,-0.025733,16.000028,0.143497
17.0,-0.029053,17.000033,0.152340
18.0,-0.032574,18.000039,0.161182
19.0,-0.036298,19.000046,0.170024
20.0,-0.040224,20.000054,0.178864
21.0,-0.044353,21.000062,0.187704
22.0,-0.048683,22.000072,0.196543
23.0,-0.053217,23.000082,0.205383
24.0,-0.057953,24.000093,0.214222
25.0,-0.062892,25.000106,0.223061
26.0,-0.068034,26.000119,0.231900
27.0,-0.073379,27.000133,0.240740
28.0,-0.078928,28.000148,0.249580
29.0,-0.084680,29.000165,0.258421
30.0,-0.090636,30.000183,0.267262
31.0,-0.096797,31.000202,0.276104
32.0,-0.103161,32.000222,0.284948
33.0,-0.109730,33.000244,0.293792
34.0,-0.116503,34.000266,0.302638
35.0,-0.123482,35.000291,0.311484
36.0,-0.130665,36.000317,0.320333
37.0,-0.138054,37.000344,0.329182
38.0,-0.145648,38.000373,0.338034
39.0,-0.153449,39.000403,0.346887
40.0,-0.161455,40.000435,0.355742
41.0,-0.169668,41.000469,0.364598
42.0,-0.178087,42.000504,0.373458
43.0,-0.186713,43.000542,0.382319
44.0,-0.195546,44.000581,0.391184
45.0,-0.204587,45.000621,0.400052
46.0,-0.213835,46.000664,0.408924
47.0,-0.223291,47.000709,0.417799
48.0,-0.232956,48.000756,0.426678
49.0,-0.242829,49.000804,0.435562
50.0,-0.252911,50.000855,0.444450
51.0,-0.263203,51.000908,0.453343
52.0,-0.273703,52.000963,0.462241
53.0,-0.284414,53.001021,0.471145
54.0,-0.295334,54.001080,0.480054
55.0,-0.306465,55.001142,0.488969
56.0,-0.317807,56.001207,0.497890
57.0,-0.329360,57.001273,0.506817
58.0,-0.341125,58.001343,0.515750
59.0,-0.353101,59.001414,0.524690
60.0,-0.365289,60.001489,0.533638
61.0,-0.377690,61.001565,0.542592
62.0,-0.390303,62.001645,0.551553
63.0,-0.403130,63.001727,0.560522
64.0,-0.416170,64.001812,0.569498
65.0,-0.429424,65.001900,0.578482
66.0,-0.442892,66.001991,0.587474
67.0,-0.456574,67.002084,0.596474
68.0,-0.470472,68.002181,0.605482
69.0,-0.484585,69.002280,0.614498
70.0,-0.498913,70.002383,0.623523
71.0,-0.513458,71.002489,0.632556
72.0,-0.528218,72.002598,0.641598
73.0,-0.543196,73.002710,0.650648
74.0,-0.558391,74.002825,0.659707
75.0,-0.573803,75.002944,0.668776
76.0,-0.589433,76.003066,0.677853
77.0,-0.605281,77.003192,0.686939
78.0,-0.621348,78.003321,0.696034
79.0,-0.637634,79.003454,0.705139
80.0,-0.654140,80.003590,0.714253
81.0,-0.670865,81.003730,0.723376
82.0,-0.687810,82.003873,0.732509
83.0,-0.704975,83.004021,0.741653
84.0,-0.722362,84.004172,0.750806
85.0,-0.739970,85.004327,0.759971
86.0,-0.757799,86.004486,0.769145
87.0,-0.775851,87.004649,0.778331
88.0,-0.794125,88.004815,0.787528
89.0,-0.812621,89.004987,0.796737
90.0,-0.831341,90.005162,0.805956
91.0,-0.850285,91.005341,0.815188
92.0,-0.869452,92.005525,0.824431
93.0,-0.888843,93.005713,0.833686
94.0,-0.908460,94.005905,0.842953
95.0,-0.928301,95.006102,0.852233
96.0,-0.948367,96.006303,0.861525
97.0,-0.968660,97.006509,0.870829
98.0,-0.989178,98.006720,0.880146
99.0,-1.009923,99.006935,0.889476
100.0,-1.030895,100.007155,0.898818
101.0,-1.052094,101.007379,0.908173
102.0,-1.073521,102.007609,0.917542
103.0,-1.095175,103.007843,0.926923
104.0,-1.117058,104.008083,0.936318
105.0,-1.139169,105.008327,0.945725
